Id,Extraversion,Neuroticism,Conscientiousness,Agreeableness,Openness
cpa8NaV6,2,0,2,0,1
BT4tWhnF,2,1,2,1,0
W4iG35hs,1,2,1,2,0
NbQp2i6N,2,1,2,1,0
D7oTD3b2,3,1,2,3,0
m5ZyomMj,0,2,1,0,1
nqf4rTQN,0,2,1,3,0
F9Y74eXP,2,1,2,1,0
TiDmtK45,2,1,2,2,0
Sprgtd4D,1,1,0,0,2
QcW6VQRb,1,0,2,1,0
JryvsTXV,3,2,2,2,0
8NErPUAn,2,1,1,3,0
EGx5hTs8,2,1,2,1,0
2ixXhApe,2,0,2,0,1
E67e8xNn,2,2,1,0,2
5955ygvR,1,2,2,3,2
2WJD9UaG,2,1,2,2,0
HHTvVpnk,1,0,2,1,0
Ea9PAZah,1,1,2,3,2
gRcUdebx,2,1,2,2,0
KZP3Rowb,0,0,3,2,0
J5ozhqVt,2,1,2,2,0
SCVhmycx,2,1,2,1,0
9dhSnPLp,1,1,2,3,2
d6ZJG4hn,2,1,1,0,0
BsfFoZiS,0,2,1,3,0
bAHBQ9Kf,2,1,2,2,0
2aBSSMAj,3,1,1,1,0
33En67gb,0,0,2,2,0
asGu6FNd,2,0,1,1,0
Cc6anXfM,2,0,1,1,0
2QcnHVsi,2,1,2,1,0
U8b3AF38,2,1,2,1,0
UJ9sbBV4,2,1,1,0,0
9htTcd6R,0,0,2,2,0
gerVDyrR,2,0,2,2,0
6k725AzD,2,1,1,0,0
EYtnQSuQ,0,0,3,2,0
SD5TgiGm,2,1,2,2,0
4BqTyQNQ,0,2,1,0,1
k5muvL2E,1,1,2,3,2
U7Y2xQWt,2,0,2,0,1
F52c8riD,3,2,2,2,0
i3zdLVgH,2,0,2,2,0
QYFyum8v,2,1,2,2,0
Pc8tYHDQ,2,0,1,1,0
LbCP9sVn,2,1,2,2,0
9A6GvhyM,1,1,2,3,2
V9TjRiMW,1,2,1,2,0
Wx6gjB9S,1,1,3,0,3
AKx8sg9q,3,2,1,2,2
GmxsjmYc,2,0,2,1,0
6cjjj2yC,2,1,2,1,0
HaL3gzQM,1,1,2,3,2
CMrj5qct,2,0,2,2,0
ZxhbZSM8,1,2,2,3,2
gDmxt8mt,2,0,2,1,0
Er29Kekm,2,1,2,2,0
HycNQXoC,1,2,2,3,2
oFBnBMsE,2,1,2,2,0
DVE8ugNT,2,1,2,1,0
Ps3vgzWd,0,2,1,0,1
Z23362Yb,3,2,2,2,0
mdeCyxkM,2,1,2,2,0
C6mYEvhW,1,2,1,2,0
6npSoYGn,1,1,2,3,2
Mmy43jFx,2,0,2,2,0
aSvnFzVi,2,0,2,1,0
5iKdUmJH,3,2,1,2,2
XSRmeGJK,1,0,2,1,0
d235PWAJ,3,2,1,2,2
7LEaesoa,1,1,1,0,1
DtdTFTYe,2,1,2,1,0
jD7icoLx,1,1,0,0,2
